iter	RMSE
0	14.0510703
1	13.0892209
2	12.25063656
3	11.52726336
4	10.93637639
5	10.38227825
6	9.909539939
7	9.387394146
8	8.930889273
9	8.554092133
10	8.19054957
11	7.918130873
12	7.634063926
13	7.360831369
14	7.137000088
15	6.928626949
16	6.742553519
17	6.591008417
18	6.485852382
19	6.359792272
20	6.2631232
21	6.147416108
22	6.05733604
23	5.966607373
24	5.871756604
25	5.807999997
26	5.736184951
27	5.682540976
28	5.632816663
29	5.598342456
30	5.565037555
31	5.534289242
32	5.50153277
33	5.461184719
34	5.439364827
35	5.411370939
36	5.388971161
37	5.358150792
38	5.331516669
39	5.317143956
40	5.296854852
41	5.279485017
42	5.259819397
43	5.241978564
44	5.212344587
45	5.196567387
46	5.171565071
47	5.15272379
48	5.14276458
49	5.12888267
50	5.116716292
51	5.106068887
52	5.091476821
53	5.067092246
54	5.05931209
55	5.052662089
56	5.038224639
57	5.029776218
58	5.015564039
59	4.999097739
60	4.987133395
61	4.974427768
62	4.966420238
63	4.956178817
64	4.947005935
65	4.936239851
66	4.92147707
67	4.907526604
68	4.898448641
69	4.880516866
70	4.873616107
71	4.867676532
72	4.855409973
73	4.84993045
74	4.838131159
75	4.826599688
76	4.812798053
77	4.803023424
78	4.799324649
79	4.792762457
80	4.786679268
81	4.773847133
82	4.76795286
83	4.760999052
84	4.759267558
85	4.745701387
86	4.740350377
87	4.732800515
88	4.726818084
89	4.723495269
90	4.71097811
91	4.70460621
92	4.695563229
93	4.688494491
94	4.682860524
95	4.675101462
96	4.659497954
97	4.656078865
98	4.650718869
99	4.640329269
