iter	Passed	Remaining
0	4	414
1	8	392
2	11	375
3	15	372
4	19	368
5	23	364
6	27	362
7	30	355
8	34	350
9	38	345
10	42	344
11	46	339
12	50	335
13	53	331
14	57	327
15	61	322
16	65	317
17	68	313
18	71	305
19	75	303
20	80	301
21	83	297
22	87	293
23	91	288
24	94	284
25	98	280
26	102	276
27	106	272
28	110	270
29	114	267
30	118	263
31	122	259
32	126	256
33	130	254
34	133	248
35	137	244
36	140	239
37	144	235
38	147	230
39	151	227
40	154	223
41	158	218
42	161	214
43	166	211
44	169	207
45	173	203
46	176	199
47	180	195
48	184	191
49	187	187
50	191	184
51	195	180
52	198	176
53	202	172
54	206	168
55	208	163
56	212	159
57	215	156
58	219	152
59	223	148
60	226	145
61	230	141
62	234	137
63	238	133
64	241	130
65	245	126
66	248	122
67	252	118
68	255	114
69	258	110
70	262	107
71	265	103
72	269	99
73	272	95
74	276	92
75	279	88
76	283	84
77	286	80
78	290	77
79	293	73
80	296	69
81	300	65
82	303	62
83	307	58
84	310	54
85	314	51
86	317	47
87	320	43
88	324	40
89	327	36
90	331	32
91	335	29
92	338	25
93	342	21
94	345	18
95	348	14
96	352	10
97	355	7
98	359	3
99	364	0
