iter	RMSE
0	14.75873359
1	14.4037043
2	14.07906233
3	13.74018345
4	13.4105574
5	13.1427583
6	12.83500893
7	12.57601969
8	12.34912382
9	12.06372635
10	11.78754142
11	11.55810785
12	11.34889764
13	11.12227132
14	10.88968629
15	10.65592389
16	10.48955589
17	10.29059149
18	10.11563457
19	9.912685037
20	9.725583911
21	9.548101824
22	9.40140348
23	9.225803595
24	9.066302239
25	8.924884518
26	8.778093135
27	8.643309916
28	8.510542747
29	8.385840296
30	8.260017186
31	8.140103921
32	8.038500273
33	7.916954213
34	7.814360303
35	7.710780288
36	7.611243333
37	7.509749233
38	7.416255269
39	7.327181388
40	7.242711922
41	7.172140886
42	7.095490451
43	7.030301746
44	6.958038001
45	6.889044128
46	6.830824807
47	6.767501126
48	6.707537287
49	6.650952803
50	6.598393643
51	6.541390998
52	6.484893378
53	6.431622612
54	6.379880528
55	6.331995335
56	6.282964269
57	6.243589278
58	6.201690993
59	6.161088918
60	6.118643378
61	6.075820891
62	6.04555332
63	6.014849044
64	5.97587792
65	5.942429837
66	5.904540075
67	5.868612482
68	5.841027856
69	5.816943884
70	5.788305344
71	5.769941814
72	5.748008312
73	5.725610529
74	5.699818046
75	5.677672622
76	5.660156577
77	5.64393111
78	5.626198914
79	5.606157259
80	5.587415112
81	5.56863169
82	5.546288531
83	5.525662725
84	5.512751994
85	5.495231238
86	5.477191356
87	5.461466087
88	5.446823179
89	5.43266993
90	5.420145462
91	5.40688293
92	5.394315336
93	5.381356658
94	5.370481142
95	5.355374179
96	5.34460503
97	5.332785919
98	5.323101955
99	5.306541597
100	5.297569327
101	5.286330716
102	5.277123805
103	5.265973579
104	5.257050841
105	5.245159925
106	5.232608572
107	5.223395463
108	5.213751651
109	5.20396534
110	5.195323271
111	5.186701703
112	5.18077511
113	5.170873095
114	5.164518857
115	5.156017399
116	5.150175838
117	5.139490434
118	5.131753491
119	5.122880002
120	5.120309484
121	5.111200949
122	5.106765904
123	5.098179374
124	5.092969535
125	5.086398602
126	5.077743757
127	5.07417715
128	5.068363349
129	5.062049014
130	5.056063552
131	5.047695533
132	5.039873933
133	5.033079699
134	5.029441907
135	5.024335258
136	5.018036222
137	5.012771095
138	5.008767431
139	5.005048478
140	4.999702186
141	4.991778495
142	4.982435357
143	4.976296442
144	4.972169647
145	4.96827001
146	4.960004443
147	4.952955518
148	4.949701273
149	4.949480844
150	4.941280195
151	4.937521775
152	4.932685387
153	4.929462903
154	4.926915067
155	4.921625667
156	4.914731062
157	4.907023572
158	4.899474603
159	4.893970362
160	4.890889222
161	4.885979022
162	4.879945674
163	4.875107791
164	4.867531859
165	4.860319287
166	4.85640107
167	4.853267463
168	4.844415644
169	4.838575161
170	4.831270959
171	4.828066221
172	4.81880578
173	4.815062352
174	4.810146114
175	4.804655852
176	4.796961718
177	4.795161469
178	4.788729715
179	4.783651987
180	4.778944578
181	4.773458868
182	4.769180764
183	4.765703414
184	4.760929392
185	4.758015169
186	4.754365794
187	4.748917148
188	4.743571964
189	4.738949029
190	4.732627209
191	4.723194454
192	4.716924817
193	4.714886578
194	4.710752798
195	4.706741212
196	4.703167045
197	4.697582064
198	4.695149297
199	4.692206974
200	4.68763007
201	4.684227437
202	4.679378235
203	4.674662922
204	4.670639487
205	4.667695949
206	4.661547249
207	4.658193914
208	4.65155536
209	4.647223302
210	4.640308043
211	4.634425676
212	4.631824648
213	4.62910776
214	4.625538336
215	4.619605971
216	4.616102044
217	4.61060588
218	4.607419822
219	4.598870377
220	4.596342479
221	4.591332851
222	4.587043188
223	4.581586008
224	4.579373426
225	4.574292172
226	4.573010646
227	4.569811119
228	4.566153553
229	4.56328229
230	4.56122895
231	4.559111852
232	4.55867676
233	4.55560554
234	4.551505495
235	4.54783621
236	4.544987426
237	4.543241393
238	4.540465488
239	4.538646128
240	4.53261107
241	4.529540449
242	4.527194687
243	4.522403121
244	4.517622788
245	4.514906001
246	4.510143468
247	4.505210315
248	4.504830019
249	4.502874854
250	4.496211238
251	4.492326502
252	4.491221088
253	4.489047185
254	4.486346205
255	4.48569049
256	4.483024382
257	4.478656429
258	4.472950651
259	4.467248522
260	4.4668542
261	4.461614131
262	4.454578462
263	4.448099669
264	4.443275673
265	4.441149915
266	4.439191106
267	4.436974882
268	4.434888123
269	4.430942251
270	4.428440434
271	4.42253542
272	4.420089143
273	4.415702205
274	4.414436549
275	4.412995508
276	4.407533952
277	4.407127186
278	4.403798068
279	4.402358979
280	4.396034643
281	4.393497073
282	4.390208271
283	4.383543978
284	4.380392251
285	4.379618579
286	4.374237243
287	4.37236749
288	4.36614306
289	4.362039569
290	4.36141489
291	4.354353866
292	4.350547917
293	4.347971437
294	4.345975244
295	4.343733957
296	4.340780942
297	4.336802892
298	4.333724273
299	4.332477714
300	4.332171899
301	4.324202685
302	4.317590106
303	4.315298492
304	4.309501862
305	4.307176266
306	4.303376103
307	4.296777379
308	4.287720615
309	4.282542353
310	4.280487812
311	4.273539615
312	4.266051291
313	4.259674926
314	4.257026081
315	4.256028272
316	4.253752148
317	4.249551638
318	4.247283155
319	4.245605896
320	4.239992636
321	4.235964262
322	4.233810564
323	4.228337955
324	4.223060114
325	4.217463672
326	4.213472546
327	4.211876907
328	4.208938213
329	4.203829359
330	4.200403803
331	4.195533225
332	4.190982359
333	4.186274207
334	4.183972287
335	4.181264575
336	4.180024169
337	4.173314704
338	4.169864854
339	4.162879346
340	4.155095305
341	4.152820048
342	4.149812034
343	4.141704219
344	4.137596559
345	4.132562213
346	4.130079123
347	4.126534285
348	4.122516683
349	4.120562293
350	4.117657379
351	4.110098452
352	4.105466523
353	4.10481793
354	4.099242737
355	4.092281435
356	4.087904239
357	4.086932809
358	4.078646787
359	4.073560386
360	4.073000852
361	4.069341623
362	4.062927718
363	4.05867087
364	4.054341566
365	4.051703579
366	4.049483697
367	4.045084203
368	4.041950628
369	4.039479454
370	4.035146813
371	4.032253742
372	4.029086156
373	4.024249393
374	4.02196375
375	4.020532184
376	4.013502024
377	4.012276411
378	4.010072232
379	4.004507912
380	3.998853561
381	3.99177171
382	3.989011216
383	3.985735047
384	3.982344426
385	3.982166811
386	3.980045007
387	3.975732035
388	3.971656348
389	3.966969196
390	3.962758578
391	3.95618836
392	3.950798628
393	3.950198512
394	3.947096224
395	3.941892326
396	3.934938433
397	3.933384195
398	3.9306968
399	3.925644009
400	3.921501996
401	3.919152464
402	3.91768961
403	3.91275365
404	3.909022297
405	3.902399438
406	3.897472829
407	3.897026382
408	3.893248597
409	3.887356366
410	3.883241654
411	3.883083713
412	3.878418523
413	3.876414686
414	3.872233739
415	3.868980816
416	3.864780521
417	3.86433869
418	3.860986757
419	3.85702329
420	3.850308733
421	3.845126021
422	3.841129191
423	3.834138615
424	3.82967173
425	3.825976747
426	3.820497654
427	3.815752499
428	3.808458534
429	3.804951505
430	3.804267897
431	3.801346627
432	3.796666585
433	3.793750352
434	3.789859345
435	3.789169961
436	3.787001217
437	3.784596899
438	3.782218557
439	3.776295508
440	3.771738124
441	3.768970551
442	3.766845806
443	3.765173807
444	3.762002598
445	3.756285823
446	3.753496522
447	3.751498592
448	3.748524524
449	3.744574364
450	3.742594148
451	3.742089695
452	3.736957931
453	3.735054851
454	3.732606459
455	3.732109845
456	3.731249348
457	3.726323069
458	3.722364612
459	3.721847335
460	3.716853419
461	3.714442764
462	3.710962125
463	3.705561113
464	3.704399743
465	3.701377472
466	3.700004244
467	3.696594703
468	3.692837207
469	3.688476477
470	3.688325162
471	3.682533576
472	3.678416634
473	3.674749545
474	3.671207379
475	3.665720419
476	3.662140682
477	3.660150717
478	3.656642208
479	3.654127251
480	3.650413567
481	3.64998692
482	3.647762371
483	3.643563751
484	3.640293235
485	3.63514434
486	3.631103686
487	3.627819115
488	3.627673066
489	3.624232808
490	3.61906778
491	3.615067268
492	3.611047161
493	3.608568703
494	3.603109633
495	3.598134564
496	3.594382373
497	3.591954456
498	3.590317399
499	3.587083461
500	3.583634985
501	3.578065369
502	3.574953605
503	3.573459824
504	3.571551882
505	3.567925661
506	3.566740366
507	3.564890599
508	3.56305815
509	3.556406416
510	3.555774148
511	3.551331815
512	3.549749359
513	3.548508788
514	3.545814904
515	3.544815489
516	3.543419873
517	3.540438648
518	3.536225641
519	3.530662316
520	3.52792968
521	3.527066751
522	3.522515731
523	3.520938784
524	3.518495857
525	3.515256323
526	3.514326529
527	3.51302311
528	3.511610718
529	3.510432674
530	3.507063986
